open_time_utc,close_time_utc,symbol,market,interval,open,high,low,close,volume_base,quote_asset_volume,trades_count
2025-08-14 15:00:00+00:00,2025-08-14 15:59:59.999000+00:00,BTCUSDC,SPOT,1h,118899.98,118980.75,117936.0,118316.0,400.22059,47383517.3715479,32012
2025-08-14 16:00:00+00:00,2025-08-14 16:59:59.999000+00:00,BTCUSDC,SPOT,1h,118316.01,118316.01,117450.0,117931.0,349.44355,41166519.467545,30041
2025-08-14 17:00:00+00:00,2025-08-14 17:59:59.999000+00:00,BTCUSDC,SPOT,1h,117928.01,118200.0,117555.0,117978.0,282.36554,33279797.9898776,20325
2025-08-14 18:00:00+00:00,2025-08-14 18:59:59.999000+00:00,BTCUSDC,SPOT,1h,117978.01,118285.25,117240.0,118155.99,249.88741,29408863.3779515,22715
2025-08-14 19:00:00+00:00,2025-08-14 19:59:59.999000+00:00,BTCUSDC,SPOT,1h,118156.0,118605.9,117987.76,118030.69,163.60558,19352080.5561157,15981
2025-08-14 20:00:00+00:00,2025-08-14 20:59:59.999000+00:00,BTCUSDC,SPOT,1h,118030.69,118223.07,117794.0,117963.99,127.9448,15093577.7383939,13361
2025-08-14 21:00:00+00:00,2025-08-14 21:59:59.999000+00:00,BTCUSDC,SPOT,1h,117963.99,118285.43,117400.0,117991.8,181.60888,21399774.5058983,19992
2025-08-14 22:00:00+00:00,2025-08-14 22:59:59.999000+00:00,BTCUSDC,SPOT,1h,117991.8,118447.78,117728.0,118378.01,125.68156,14859390.8070649,12530
2025-08-14 23:00:00+00:00,2025-08-14 23:59:59.999000+00:00,BTCUSDC,SPOT,1h,118378.0,118622.24,118331.6,118390.0,81.35955,9643600.2655883,8315
2025-08-15 00:00:00+00:00,2025-08-15 00:59:59.999000+00:00,BTCUSDC,SPOT,1h,118389.99,118578.59,118134.17,118284.0,125.30886,14825466.5436214,15504
2025-08-15 01:00:00+00:00,2025-08-15 01:59:59.999000+00:00,BTCUSDC,SPOT,1h,118284.0,118843.1,118134.0,118785.5,117.32274,13915806.0459641,13823
2025-08-15 02:00:00+00:00,2025-08-15 02:59:59.999000+00:00,BTCUSDC,SPOT,1h,118785.51,119013.95,118690.76,118818.82,102.33044,12162106.125078,12234
2025-08-15 03:00:00+00:00,2025-08-15 03:59:59.999000+00:00,BTCUSDC,SPOT,1h,118814.61,119199.99,118721.73,119076.0,68.49996,8154157.7337762,10075
2025-08-15 04:00:00+00:00,2025-08-15 04:59:59.999000+00:00,BTCUSDC,SPOT,1h,119075.99,119316.48,118880.82,118948.0,73.73715,8784540.1894196,8704
2025-08-15 05:00:00+00:00,2025-08-15 05:59:59.999000+00:00,BTCUSDC,SPOT,1h,118946.16,119114.01,118740.82,119088.0,86.61676,10299053.8008232,9109
2025-08-15 06:00:00+00:00,2025-08-15 06:59:59.999000+00:00,BTCUSDC,SPOT,1h,119086.0,119333.61,118976.04,119193.84,64.91237,7737438.5966912,9967
2025-08-15 07:00:00+00:00,2025-08-15 07:59:59.999000+00:00,BTCUSDC,SPOT,1h,119193.84,119212.09,118849.83,119058.0,74.64635,8881989.0250715,9756
2025-08-15 08:00:00+00:00,2025-08-15 08:59:59.999000+00:00,BTCUSDC,SPOT,1h,119057.99,119253.83,118952.67,118961.02,78.31229,9328657.6256779,9426
2025-08-15 09:00:00+00:00,2025-08-15 09:59:59.999000+00:00,BTCUSDC,SPOT,1h,118961.01,119135.95,118681.36,118786.8,63.19581,7512745.2251908,8638
2025-08-15 10:00:00+00:00,2025-08-15 10:59:59.999000+00:00,BTCUSDC,SPOT,1h,118786.8,119114.0,118786.8,118970.01,62.21376,7403089.9075763,9507
2025-08-15 11:00:00+00:00,2025-08-15 11:59:59.999000+00:00,BTCUSDC,SPOT,1h,118970.01,119188.0,118970.0,119082.0,56.8246,6769397.8227485,7216
2025-08-15 12:00:00+00:00,2025-08-15 12:59:59.999000+00:00,BTCUSDC,SPOT,1h,119082.01,119224.0,118606.0,118736.0,207.11756,24623606.6627669,21173
2025-08-15 13:00:00+00:00,2025-08-15 13:59:59.999000+00:00,BTCUSDC,SPOT,1h,118734.0,118829.06,117800.01,117845.0,312.68107,36987041.8172795,28720
2025-08-15 14:00:00+00:00,2025-08-15 14:59:59.999000+00:00,BTCUSDC,SPOT,1h,117845.0,118339.99,117304.11,117456.57,303.05482,35696264.0582071,29809
2025-08-15 15:00:00+00:00,2025-08-15 15:59:59.999000+00:00,BTCUSDC,SPOT,1h,117460.0,117660.54,116884.48,117340.0,422.22324,49502080.0235103,39978
2025-08-15 16:00:00+00:00,2025-08-15 16:59:59.999000+00:00,BTCUSDC,SPOT,1h,117340.0,117494.34,116866.0,117429.92,259.30044,30380354.724901,26503
2025-08-15 17:00:00+00:00,2025-08-15 17:59:59.999000+00:00,BTCUSDC,SPOT,1h,117424.0,117946.92,117058.82,117656.0,204.259,24016343.2060012,22767
2025-08-15 18:00:00+00:00,2025-08-15 18:59:59.999000+00:00,BTCUSDC,SPOT,1h,117658.0,117730.0,117088.06,117231.86,408.77828,47989133.4940649,18762
2025-08-15 19:00:00+00:00,2025-08-15 19:59:59.999000+00:00,BTCUSDC,SPOT,1h,117231.86,117486.53,116924.0,117008.0,205.59133,24099389.1042724,16330
2025-08-15 20:00:00+00:00,2025-08-15 20:59:59.999000+00:00,BTCUSDC,SPOT,1h,117008.0,117394.0,116922.21,117350.01,160.33662,18799114.5383316,12800
2025-08-15 21:00:00+00:00,2025-08-15 21:59:59.999000+00:00,BTCUSDC,SPOT,1h,117350.01,117436.28,117077.81,117399.09,69.09946,8103992.4045075,8169
2025-08-15 22:00:00+00:00,2025-08-15 22:59:59.999000+00:00,BTCUSDC,SPOT,1h,117399.09,117833.26,117380.0,117791.99,62.50554,7350317.3973626,8443
2025-08-15 23:00:00+00:00,2025-08-15 23:59:59.999000+00:00,BTCUSDC,SPOT,1h,117791.99,117860.89,117124.1,117436.84,69.48455,8159020.1092411,9689
2025-08-16 00:00:00+00:00,2025-08-16 00:59:59.999000+00:00,BTCUSDC,SPOT,1h,117436.83,117884.08,117317.58,117832.0,79.88743,9396308.7405476,10607
2025-08-16 01:00:00+00:00,2025-08-16 01:59:59.999000+00:00,BTCUSDC,SPOT,1h,117832.0,117998.0,117716.0,117921.16,57.1397,6733914.0531559,7202
2025-08-16 02:00:00+00:00,2025-08-16 02:59:59.999000+00:00,BTCUSDC,SPOT,1h,117921.16,117921.16,117529.42,117604.01,96.77875,11392543.1274264,8561
2025-08-16 03:00:00+00:00,2025-08-16 03:59:59.999000+00:00,BTCUSDC,SPOT,1h,117604.01,117764.82,117485.54,117528.0,71.56537,8420250.7285122,7274
2025-08-16 04:00:00+00:00,2025-08-16 04:59:59.999000+00:00,BTCUSDC,SPOT,1h,117528.0,117997.41,117522.01,117919.99,80.53712,9489615.9078366,7154
2025-08-16 05:00:00+00:00,2025-08-16 05:59:59.999000+00:00,BTCUSDC,SPOT,1h,117919.98,117957.37,117630.01,117705.34,60.87028,7166219.7951322,5614
2025-08-16 06:00:00+00:00,2025-08-16 06:59:59.999000+00:00,BTCUSDC,SPOT,1h,117705.99,117741.77,117363.24,117494.12,99.90053,11742940.1869055,6714
2025-08-16 07:00:00+00:00,2025-08-16 07:59:59.999000+00:00,BTCUSDC,SPOT,1h,117494.11,117792.09,117447.98,117703.18,136.81699,16102904.1327373,9225
2025-08-16 08:00:00+00:00,2025-08-16 08:59:59.999000+00:00,BTCUSDC,SPOT,1h,117703.53,117770.66,117588.0,117724.44,68.31419,8039896.4599283,6054
2025-08-16 09:00:00+00:00,2025-08-16 09:59:59.999000+00:00,BTCUSDC,SPOT,1h,117724.45,117801.99,117386.0,117397.99,80.04188,9415605.0494275,7449
2025-08-16 10:00:00+00:00,2025-08-16 10:59:59.999000+00:00,BTCUSDC,SPOT,1h,117397.99,117541.99,117224.0,117480.83,180.57651,21199564.4317467,10996
2025-08-16 11:00:00+00:00,2025-08-16 11:59:59.999000+00:00,BTCUSDC,SPOT,1h,117480.83,117618.92,117444.0,117469.99,57.16748,6718082.4224603,4255
2025-08-16 12:00:00+00:00,2025-08-16 12:59:59.999000+00:00,BTCUSDC,SPOT,1h,117470.0,117838.0,117425.0,117828.02,47.26618,5558925.5800326,7270
2025-08-16 13:00:00+00:00,2025-08-16 13:59:59.999000+00:00,BTCUSDC,SPOT,1h,117828.01,117875.58,117671.47,117711.99,118.90167,14006646.1743438,9254
2025-08-16 14:00:00+00:00,2025-08-16 14:59:59.999000+00:00,BTCUSDC,SPOT,1h,117711.99,117860.01,117622.97,117858.36,41.5309,4890783.9276522,6745
2025-08-16 15:00:00+00:00,2025-08-16 15:59:59.999000+00:00,BTCUSDC,SPOT,1h,117858.36,117907.99,117692.01,117764.0,33.63201,3962270.1203175,4950
2025-08-16 16:00:00+00:00,2025-08-16 16:59:59.999000+00:00,BTCUSDC,SPOT,1h,117764.0,117907.99,117763.99,117830.0,32.83269,3868808.9836212,4024
2025-08-16 17:00:00+00:00,2025-08-16 17:59:59.999000+00:00,BTCUSDC,SPOT,1h,117830.0,117844.0,117738.01,117783.99,34.081,4014282.8176424,4348
2025-08-16 18:00:00+00:00,2025-08-16 18:59:59.999000+00:00,BTCUSDC,SPOT,1h,117784.0,117839.95,117668.25,117769.98,36.19357,4261702.0788582,4371
2025-08-16 19:00:00+00:00,2025-08-16 19:59:59.999000+00:00,BTCUSDC,SPOT,1h,117769.99,117854.0,117732.0,117749.45,31.66465,3729530.4530819,4235
2025-08-16 20:00:00+00:00,2025-08-16 20:59:59.999000+00:00,BTCUSDC,SPOT,1h,117745.65,117798.24,117606.21,117737.26,101.04341,11892388.8725362,4111
2025-08-16 21:00:00+00:00,2025-08-16 21:59:59.999000+00:00,BTCUSDC,SPOT,1h,117737.25,117737.26,117523.51,117523.52,57.00707,6704487.0707553,3548
2025-08-16 22:00:00+00:00,2025-08-16 22:59:59.999000+00:00,BTCUSDC,SPOT,1h,117523.52,117634.79,117285.75,117554.01,76.66064,9006268.9136183,6573
2025-08-16 23:00:00+00:00,2025-08-16 23:59:59.999000+00:00,BTCUSDC,SPOT,1h,117554.0,117558.0,117367.25,117464.38,30.47363,3579385.5733672,3901
2025-08-17 00:00:00+00:00,2025-08-17 00:59:59.999000+00:00,BTCUSDC,SPOT,1h,117464.37,117511.99,117333.33,117340.0,38.51496,4521809.8253691,6417
2025-08-17 01:00:00+00:00,2025-08-17 01:59:59.999000+00:00,BTCUSDC,SPOT,1h,117340.0,117577.03,117256.6,117520.13,52.99034,6221288.80836,5769
2025-08-17 02:00:00+00:00,2025-08-17 02:59:59.999000+00:00,BTCUSDC,SPOT,1h,117520.13,117705.95,117464.5,117685.75,30.92684,3636917.5748681,4550
2025-08-17 03:00:00+00:00,2025-08-17 03:59:59.999000+00:00,BTCUSDC,SPOT,1h,117682.0,117840.0,117584.23,117765.63,28.74925,3383799.2261099,3964
2025-08-17 04:00:00+00:00,2025-08-17 04:59:59.999000+00:00,BTCUSDC,SPOT,1h,117765.63,118290.53,117758.99,118167.99,76.55831,9036302.2173104,8876
2025-08-17 05:00:00+00:00,2025-08-17 05:59:59.999000+00:00,BTCUSDC,SPOT,1h,118168.0,118319.99,118078.24,118084.01,57.97073,6851072.6064356,7196
2025-08-17 06:00:00+00:00,2025-08-17 06:59:59.999000+00:00,BTCUSDC,SPOT,1h,118084.01,118196.0,117984.3,118011.99,27.90103,3294739.796427,4399
2025-08-17 07:00:00+00:00,2025-08-17 07:59:59.999000+00:00,BTCUSDC,SPOT,1h,118012.0,118129.99,117927.85,118089.99,39.61425,4676089.9252414,4853
2025-08-17 08:00:00+00:00,2025-08-17 08:59:59.999000+00:00,BTCUSDC,SPOT,1h,118090.0,118493.64,118013.99,118455.93,85.92027,10161873.2092937,9352
2025-08-17 09:00:00+00:00,2025-08-17 09:59:59.999000+00:00,BTCUSDC,SPOT,1h,118455.93,118560.29,118300.0,118408.01,147.53163,17469149.5624357,11905
2025-08-17 10:00:00+00:00,2025-08-17 10:59:59.999000+00:00,BTCUSDC,SPOT,1h,118408.01,118457.36,118254.0,118457.36,54.10584,6402808.3226594,6481
2025-08-17 11:00:00+00:00,2025-08-17 11:59:59.999000+00:00,BTCUSDC,SPOT,1h,118457.35,118462.0,118332.02,118372.0,51.29571,6073395.8499342,5155
2025-08-17 12:00:00+00:00,2025-08-17 12:59:59.999000+00:00,BTCUSDC,SPOT,1h,118372.0,118422.0,118183.8,118218.0,45.09503,5335343.5303833,5260
2025-08-17 13:00:00+00:00,2025-08-17 13:59:59.999000+00:00,BTCUSDC,SPOT,1h,118218.0,118644.03,118138.0,118500.0,70.8547,8386096.8012821,8319
2025-08-17 14:00:00+00:00,2025-08-17 14:59:59.999000+00:00,BTCUSDC,SPOT,1h,118500.0,118544.28,118218.15,118222.0,51.15566,6053962.6807558,7047
2025-08-17 15:00:00+00:00,2025-08-17 15:59:59.999000+00:00,BTCUSDC,SPOT,1h,118222.0,118326.0,118200.0,118308.01,35.17049,4159532.1186607,5564
2025-08-17 16:00:00+00:00,2025-08-17 16:59:59.999000+00:00,BTCUSDC,SPOT,1h,118308.02,118385.99,117765.48,117901.97,145.56337,17180560.9493618,12948
2025-08-17 17:00:00+00:00,2025-08-17 17:59:59.999000+00:00,BTCUSDC,SPOT,1h,117901.96,118011.94,117711.34,117972.01,61.16761,7210285.3512057,6540
2025-08-17 18:00:00+00:00,2025-08-17 18:59:59.999000+00:00,BTCUSDC,SPOT,1h,117972.01,118027.39,117390.01,117620.0,123.64534,14552566.4320566,10516
2025-08-17 19:00:00+00:00,2025-08-17 19:59:59.999000+00:00,BTCUSDC,SPOT,1h,117626.0,117836.0,117540.0,117654.0,73.12051,8605902.0919664,7580
2025-08-17 20:00:00+00:00,2025-08-17 20:59:59.999000+00:00,BTCUSDC,SPOT,1h,117653.99,117827.99,117590.0,117681.97,39.06014,4598055.7158774,4269
2025-08-17 21:00:00+00:00,2025-08-17 21:59:59.999000+00:00,BTCUSDC,SPOT,1h,117681.98,117875.0,117681.97,117787.67,40.28949,4744009.8363004,4273
2025-08-17 22:00:00+00:00,2025-08-17 22:59:59.999000+00:00,BTCUSDC,SPOT,1h,117787.66,118095.35,117764.39,118036.1,71.94939,8484709.239888,7095
2025-08-17 23:00:00+00:00,2025-08-17 23:59:59.999000+00:00,BTCUSDC,SPOT,1h,118036.1,118056.0,117456.53,117490.0,67.64134,7962597.9862261,6953
2025-08-18 00:00:00+00:00,2025-08-18 00:59:59.999000+00:00,BTCUSDC,SPOT,1h,117489.99,117630.83,117096.32,117373.62,142.90235,16768306.4019665,13603
2025-08-18 01:00:00+00:00,2025-08-18 01:59:59.999000+00:00,BTCUSDC,SPOT,1h,117373.62,117490.56,116252.02,116357.27,423.10053,49387924.3307568,29132
2025-08-18 02:00:00+00:00,2025-08-18 02:59:59.999000+00:00,BTCUSDC,SPOT,1h,116357.26,116422.0,115374.72,115532.01,460.81104,53410765.5181917,32828
2025-08-18 03:00:00+00:00,2025-08-18 03:59:59.999000+00:00,BTCUSDC,SPOT,1h,115532.0,115714.31,115081.44,115406.13,288.80086,33340260.4740604,20137
2025-08-18 04:00:00+00:00,2025-08-18 04:59:59.999000+00:00,BTCUSDC,SPOT,1h,115406.12,115617.99,115169.16,115557.7,110.19257,12718553.4124277,8815
2025-08-18 05:00:00+00:00,2025-08-18 05:59:59.999000+00:00,BTCUSDC,SPOT,1h,115557.7,115782.78,115044.04,115782.78,177.4587,20492125.802548,14258
2025-08-18 06:00:00+00:00,2025-08-18 06:59:59.999000+00:00,BTCUSDC,SPOT,1h,115782.77,115819.32,114950.01,115330.09,306.50603,35331405.5412957,22194
2025-08-18 07:00:00+00:00,2025-08-18 07:59:59.999000+00:00,BTCUSDC,SPOT,1h,115330.09,115553.01,115262.69,115284.0,116.32404,13426722.0727452,13205
2025-08-18 08:00:00+00:00,2025-08-18 08:59:59.999000+00:00,BTCUSDC,SPOT,1h,115283.99,115484.52,115146.95,115213.11,104.68715,12072370.6194407,10931
2025-08-18 09:00:00+00:00,2025-08-18 09:59:59.999000+00:00,BTCUSDC,SPOT,1h,115213.11,115220.0,114718.0,115112.27,337.30119,38776464.8385717,22131
2025-08-18 10:00:00+00:00,2025-08-18 10:59:59.999000+00:00,BTCUSDC,SPOT,1h,115112.27,115340.9,115055.55,115141.52,155.13009,17872452.733947,12221
